42   ,03   ,1,0
43   ,03   ,1,0
44+45,03   ,1,0
46   ,03   ,1,0
47   ,03   ,1,0
48   ,03   ,1,0
49   ,03   ,1,0
50   ,03   ,1,0
51   ,03   ,1,0
52   ,03   ,1,0
53   ,03   ,1,0
54   ,03   ,1,0
55   ,03   ,1,0
56   ,03   ,1,0
57   ,03   ,1,0
58   ,03   ,1,0
59A  ,03   ,1,0
59B  ,03   ,1,0
60   ,03   ,1,0
61   ,03   ,1,0
62   ,03   ,1,0
63   ,03   ,1,0
64   ,03   ,1,0
65A  ,03   ,1,0
65B  ,03   ,1,0
65C  ,03   ,1,0
65D  ,03   ,1,0
65E  ,03   ,1,0
66   ,03   ,1,0
67   ,03   ,1,0
68A  ,03   ,1,0
68B  ,03   ,1,0
68C  ,03   ,1,0
69A  ,03   ,1,0
69B  ,03   ,1,0
70A  ,03   ,1,0
70B  ,03   ,1,0
71A  ,03   ,1,0
71B  ,03   ,1,0
72A  ,03   ,1,0
72B  ,03   ,1,0
73A  ,03   ,1,0
73B  ,03   ,1,0
73C  ,03   ,1,0
73D  ,03   ,1,0
74   ,03   ,1,0
75   ,03   ,1,0
76   ,03   ,1,0
77A  ,03   ,1,0
77B  ,03   ,1,0
78   ,03   ,1,0
79   ,03   ,1,0
82   ,03   ,1,0
84   ,03   ,1,0
85   ,03   ,1,0
01   ,04   ,1,503
02   ,04   ,1,1051
03   ,04   ,1,0
04   ,04   ,1,28251
05+06,04   ,1,0
07   ,04   ,1,0
08   ,04   ,1,0
09+10,04   ,1,0
11   ,04   ,1,0
12   ,04   ,1,0
13   ,04   ,1,0
14   ,04   ,1,0
15   ,04   ,1,0
16   ,04   ,1,0
17   ,04   ,1,0
18   ,04   ,1,0
19   ,04   ,1,0
20+21,04   ,1,0
22+23,04   ,1,0
24   ,04   ,1,0
25   ,04   ,1,0
26A  ,04   ,1,0
26B  ,04   ,1,0
27A  ,04   ,1,0
27B  ,04   ,1,0
28   ,04   ,1,0
29A  ,04   ,1,0
29B  ,04   ,1,0
30   ,04   ,1,0
31   ,04   ,1,0
32   ,04   ,1,0
33+34,04   ,1,0
35   ,04   ,1,0
36   ,04   ,1,0
37   ,04   ,1,0
38   ,04   ,1,0
39   ,04   ,1,0
40   ,04   ,1,0
41   ,04   ,1,0
42   ,04   ,1,0
43   ,04   ,1,0
44+45,04   ,1,0
46   ,04   ,1,0
47   ,04   ,1,0
48   ,04   ,1,0
49   ,04   ,1,0
50   ,04   ,1,0
51   ,04   ,1,0
52   ,04   ,1,0
53   ,04   ,1,0
54   ,04   ,1,0
55   ,04   ,1,0
56   ,04   ,1,0
57   ,04   ,1,0
58   ,04   ,1,0
59A  ,04   ,1,0
59B  ,04   ,1,0
60   ,04   ,1,0
61   ,04   ,1,0
62   ,04   ,1,0
63   ,04   ,1,0
64   ,04   ,1,0
65A  ,04   ,1,0
65B  ,04   ,1,0
65C  ,04   ,1,0
65D  ,04   ,1,0
65E  ,04   ,1,0
66   ,04   ,1,0
67   ,04   ,1,0
68A  ,04   ,1,0
68B  ,04   ,1,0
68C  ,04   ,1,0
69A  ,04   ,1,0
69B  ,04   ,1,0
70A  ,04   ,1,0
70B  ,04   ,1,0
71A  ,04   ,1,0
71B  ,04   ,1,0
72A  ,04   ,1,0
72B  ,04   ,1,0
73A  ,04   ,1,0
73B  ,04   ,1,0
73C  ,04   ,1,0
73D  ,04   ,1,0
74   ,04   ,1,0
75   ,04   ,1,0
76   ,04   ,1,0
77A  ,04   ,1,0
77B  ,04   ,1,0
78   ,04   ,1,0
79   ,04   ,1,0
82   ,04   ,1,0
84   ,04   ,1,0
85   ,04   ,1,0
01   ,05+06,1,0
02   ,05+06,1,0
03   ,05+06,1,0
04   ,05+06,1,0
05+06,05+06,1,10726
07   ,05+06,1,0
08   ,05+06,1,0
09+10,05+06,1,12
11   ,05+06,1,0
12   ,05+06,1,0
13   ,05+06,1,0
14   ,05+06,1,0
15   ,05+06,1,0
16   ,05+06,1,0
17   ,05+06,1,0
18   ,05+06,1,0
19   ,05+06,1,0
20+21,05+06,1,0
22+23,05+06,1,0
24   ,05+06,1,0
25   ,05+06,1,0
26A  ,05+06,1,0
26B  ,05+06,1,0
27A  ,05+06,1,0
27B  ,05+06,1,0
28   ,05+06,1,0
29A  ,05+06,1,0
29B  ,05+06,1,0
30   ,05+06,1,0
31   ,05+06,1,0
32   ,05+06,1,0
33+34,05+06,1,0
35   ,05+06,1,0
36   ,05+06,1,1
37   ,05+06,1,0
38   ,05+06,1,0
39   ,05+06,1,0
40   ,05+06,1,0
41   ,05+06,1,0
42   ,05+06,1,0
43   ,05+06,1,0
44+45,05+06,1,0
46   ,05+06,1,0
47   ,05+06,1,0
48   ,05+06,1,0
49   ,05+06,1,0
50   ,05+06,1,0
51   ,05+06,1,0
52   ,05+06,1,0
53   ,05+06,1,0
54   ,05+06,1,0
55   ,05+06,1,0
56   ,05+06,1,0
57   ,05+06,1,0
58   ,05+06,1,0
59A  ,05+06,1,0
59B  ,05+06,1,0
60   ,05+06,1,0
61   ,05+06,1,0
62   ,05+06,1,0
63   ,05+06,1,0
64   ,05+06,1,0
65A  ,05+06,1,0
65B  ,05+06,1,0
65C  ,05+06,1,0
65D  ,05+06,1,0
65E  ,05+06,1,0
66   ,05+06,1,0
67   ,05+06,1,0
68A  ,05+06,1,0
68B  ,05+06,1,0
68C  ,05+06,1,0
69A  ,05+06,1,0
69B  ,05+06,1,0
70A  ,05+06,1,0
70B  ,05+06,1,0
71A  ,05+06,1,0
71B  ,05+06,1,0
72A  ,05+06,1,0
72B  ,05+06,1,0
73A  ,05+06,1,0
73B  ,05+06,1,0
73C  ,05+06,1,0
73D  ,05+06,1,0
74   ,05+06,1,0
75   ,05+06,1,0
76   ,05+06,1,0
77A  ,05+06,1,0
77B  ,05+06,1,0
78   ,05+06,1,0
79   ,05+06,1,0
82   ,05+06,1,0
84   ,05+06,1,0
85   ,05+06,1,0
01   ,07   ,1,0
02   ,07   ,1,0
03   ,07   ,1,0
04   ,07   ,1,0
05+06,07   ,1,8
07   ,07   ,1,26907
08   ,07   ,1,0
09+10,07   ,1,2
11   ,07   ,1,0
12   ,07   ,1,0
13   ,07   ,1,0
14   ,07   ,1,0
15   ,07   ,1,0
16   ,07   ,1,0
17   ,07   ,1,0
18   ,07   ,1,0
19   ,07   ,1,0
20+21,07   ,1,0
22+23,07   ,1,0
24   ,07   ,1,0
25   ,07   ,1,0
26A  ,07   ,1,0
26B  ,07   ,1,0
27A  ,07   ,1,0
27B  ,07   ,1,0
28   ,07   ,1,0
29A  ,07   ,1,0
29B  ,07   ,1,0
30   ,07   ,1,0
31   ,07   ,1,0
32   ,07   ,1,0
33+34,07   ,1,0
35   ,07   ,1,0
36   ,07   ,1,0
37   ,07   ,1,0
38   ,07   ,1,0
39   ,07   ,1,0
40   ,07   ,1,0
41   ,07   ,1,0
42   ,07   ,1,0
43   ,07   ,1,0
44+45,07   ,1,0
46   ,07   ,1,0
47   ,07   ,1,0
48   ,07   ,1,0
49   ,07   ,1,0
50   ,07   ,1,0
51   ,07   ,1,0
52   ,07   ,1,0
53   ,07   ,1,0
54   ,07   ,1,0
55   ,07   ,1,0
56   ,07   ,1,0
57   ,07   ,1,0
58   ,07   ,1,0
59A  ,07   ,1,0
59B  ,07   ,1,0
60   ,07   ,1,0
61   ,07   ,1,0
62   ,07   ,1,0
63   ,07   ,1,0
64   ,07   ,1,0
65A  ,07   ,1,0
65B  ,07   ,1,0
65C  ,07   ,1,0
65D  ,07   ,1,0
65E  ,07   ,1,0
66   ,07   ,1,0
67   ,07   ,1,0
68A  ,07   ,1,0
68B  ,07   ,1,0
68C  ,07   ,1,0
69A  ,07   ,1,0
69B  ,07   ,1,0
70A  ,07   ,1,0
70B  ,07   ,1,0
71A  ,07   ,1,0
71B  ,07   ,1,0
72A  ,07   ,1,0
72B  ,07   ,1,0
73A  ,07   ,1,0
73B  ,07   ,1,0
73C  ,07   ,1,0
73D  ,07   ,1,0
74   ,07   ,1,0
75   ,07   ,1,0
76   ,07   ,1,0
77A  ,07   ,1,0
77B  ,07   ,1,0
78   ,07   ,1,0
79   ,07   ,1,0
82   ,07   ,1,0
84   ,07   ,1,0
85   ,07   ,1,0
01   ,08   ,1,0
02   ,08   ,1,0
03   ,08   ,1,0
04   ,08   ,1,0
05+06,08   ,1,0
07   ,08   ,1,0
08   ,08   ,1,97613
09+10,08   ,1,0
11   ,08   ,1,0
12   ,08   ,1,0
13   ,08   ,1,0
14   ,08   ,1,0
15   ,08   ,1,0
16   ,08   ,1,0
17   ,08   ,1,0
18   ,08   ,1,0
19   ,08   ,1,0
20+21,08   ,1,0
22+23,08   ,1,0
24   ,08   ,1,0
25   ,08   ,1,0
26A  ,08   ,1,0
26B  ,08   ,1,0
27A  ,08   ,1,10
27B  ,08   ,1,0
28   ,08   ,1,0
29A  ,08   ,1,0
29B  ,08   ,1,0
30   ,08   ,1,0
31   ,08   ,1,0
32   ,08   ,1,0
33+34,08   ,1,0
35   ,08   ,1,0
36   ,08   ,1,0
37   ,08   ,1,0
38   ,08   ,1,0
39   ,08   ,1,0
40   ,08   ,1,0
41   ,08   ,1,0
42   ,08   ,1,0
43   ,08   ,1,0
44+45,08   ,1,0
46   ,08   ,1,0
47   ,08   ,1,0
48   ,08   ,1,0
49   ,08   ,1,0
50   ,08   ,1,0
51   ,08   ,1,0
