    1       4   2.8399812
    2       4   1.9238076
    3       4   1.9245196
    4       4   2.1786151
  5+6       4   1.9381230
    7       4   1.7260517
    8       4   1.5593348
 9+10       4   1.7043596
   11       4   2.0352513
   12       4   2.0463655
   13       4   1.7931728
   14       4   2.6087110
   15       4   1.6683632
   16       4   2.5072854
   17       4   2.6144364
   18       4   2.3084819
   19       4   2.3552722
20+21       4   2.3601422
22+23       4   2.1102481
   24       4   2.1974851
   25       4   2.3868998
  26A       4   1.8622134
  26B       4   1.9545459
  27A       4   2.1302115
  27B       4   2.4976993
   28       4   2.2915231
  29A       4   1.6959432
  29B       4   1.9435844
   30       4   2.1438190
   31       4   2.3609850
   32       4   2.1509252
33+34       4   2.2858691
   35       4   1.9568766
   36       4   2.0021768
   37       4   2.2003453
   38       4   2.5567042
   39       4   2.6063317
   40       4   2.1822786
   41       4   2.1517338
   42       4   2.0258609
   43       4   2.1534396
44+45       4   2.1073316
   46       4   2.0621558
   47       4   1.8319259
   48       4   1.9177499
   49       4   1.9316677
   50       4   1.8155956
   51       4   2.0765315
   52       4   2.0754501
   53       4   1.9726739
   54       4   2.1459747
   55       4   1.9719349
   56       4   1.9467137
   57       4   1.8813005
   58       4   2.0711763
  59A       4   2.6956445
  59B       4   2.2752933
   60       4   2.0275726
   61       4   2.0846104
   62       4   1.8237948
   63       4   1.8259391
   64       4   2.0375786
  65A       4   1.8662640
  65B       4   1.8283398
  65C       4   2.2000849
  65D       4   2.0094389
  65E       4   1.7292369
   66       4   1.7210784
   67       4   2.0259695
  68A       4   1.7042082
  68B       4   2.0404431
  68C       4   2.2178735
  69A       4   1.5409449
  69B       4   1.5428511
  70A       4   1.8660368
  70B       4   1.9567707
  71A       4   1.2631908
  71B       4   1.4844527
  72A       4   1.8569631
  72B       4   1.9021462
  73A       4   1.7571823
  73B       4   1.7148252
  73C       4   1.6754708
  73D       4   1.8437728
   74       4   2.0339734
   75       4   2.0028723
   76       4   1.9731384
  77A       4   1.6381808
  77B       4   1.9586436
   78       4   1.3840182
   79       4   2.2119258
   80       4   1.0000000
   81       4   1.0000000
   82       4   1.0000000
   83       4   1.0000000
   84       4   1.0000000
   85       4   1.0000000
