    1       2     87484.3
    2       2     86742.0
    3       2      7456.4
    4       2     22200.6
  5+6       2      6807.0
    7       2     25451.8
    8       2     84228.3
 9+10       2     12963.9
11+12       2    618813.0
   13       2     31437.8
   14       2    325971.7
   15       2     26382.7
   16       2     38244.0
   17       2     15981.8
   18       2     64183.8
   19       2     16987.3
20+21       2     72874.5
22+23       2     36776.9
   24       2     81982.3
   25       2     25510.8
  26A       2     49726.8
  26B       2     87377.6
  27A       2     84374.6
  27B       2     13512.3
   28       2     40672.4
  29A       2     36012.2
  29B       2     33229.3
   30       2     12072.4
   31       2    137871.1
   32       2     85571.6
33+34       2      8699.6
   35       2     16085.3
   36       2     43731.7
   37       2     68090.7
   38       2     56376.3
   39       2     11904.3
   40       2     43930.4
   41       2     31973.5
   42       2     44424.2
   43       2     14095.6
44+45       2     26753.4
   46       2      7193.9
   47       2     21226.8
   48       2     16253.8
   49       2     23235.9
   50       2     20003.1
   51       2     55819.5
   52       2     22408.9
   53       2     22665.3
   54       2     15360.5
   55       2     17614.8
   56       2     40699.5
   57       2     48653.6
   58       2     20823.0
  59A       2    134114.7
  59B       2     68990.7
   60       2     82127.6
   61       2     24082.1
   62       2     85463.4
   63       2     19725.4
   64       2     33089.1
  65A       2     43458.2
  65B       2    116095.2
  65C       2     24053.0
  65D       2     76252.9
  65E       2     25908.2
   66       2    161126.8
   67       2     29396.2
  68A       2    132371.3
  68B       2     67548.5
  68C       2     11262.2
  69A       2    423750.7
  69B       2    420693.5
  70A       2    286612.5
  70B       2    172849.5
  71A       2    325143.9
  71B       2    380275.0
  72A       2     40997.4
  72B       2     66302.4
  73A       2     60821.4
  73B       2    177931.2
  73C       2    220727.6
  73D       2     15883.7
   74       2    209394.0
   75       2    130704.0
   76       2     78192.4
  77A       2    338511.1
  77B       2    152678.2
   78       2     45396.3
   79       2     69483.9
   82       2    466784.8
   83       2         0.0
   84       2      7709.0
   85       2    -17817.0
   91       2   3072252.0
   92       2    732891.3
   93       2     28037.4
   94       2    348572.0
   95       2   -490442.0
   96       2    292052.0
   97       2     92875.0
   98       2    218271.9
   99       2    278319.8
